abilities,name,pokedex_number,japanese_name,type1,type2,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,percentage_male,base_egg_steps,base_happiness,weight_kg,capture_rate,classfication,experience_growth,height_m,base_total,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary,stage
"['Overgrow', 'Chlorophyll']",Bulbasaur,1,Fushigidaneフシギダネ,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,88.1,5120,70,6.9,45,Seed Pokémon,1059860,0.7,318,45,49,49,65,65,45,1,0,0
"['Overgrow', 'Chlorophyll']",Ivysaur,2,Fushigisouフシギソウ,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,88.1,5120,70,13,45,Seed Pokémon,1059860,1,405,60,62,63,80,80,60,1,0,1
"['Overgrow', 'Chlorophyll']",Venusaur,3,Fushigibanaフシギバナ,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,88.1,5120,70,100,45,Seed Pokémon,1059860,2,625,80,100,123,122,120,80,1,0,2
"['Blaze', 'Solar Power']",Charmander,4,Hitokageヒトカゲ,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,5120,70,8.5,45,Lizard Pokémon,1059860,0.6,309,39,52,43,60,50,65,1,0,0
"['Blaze', 'Solar Power']",Charmeleon,5,Lizardoリザード,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,5120,70,19,45,Flame Pokémon,1059860,1.1,405,58,64,58,80,65,80,1,0,1
"['Blaze', 'Solar Power']",Charizard,6,Lizardonリザードン,fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,88.1,5120,70,90.5,45,Flame Pokémon,1059860,1.7,634,78,104,78,159,115,100,1,0,2
"['Torrent', 'Rain Dish']",Squirtle,7,Zenigameゼニガメ,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,5120,70,9,45,Tiny Turtle Pokémon,1059860,0.5,314,44,48,65,50,64,43,1,0,0
"['Torrent', 'Rain Dish']",Wartortle,8,Kameilカメール,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,5120,70,22.5,45,Turtle Pokémon,1059860,1,405,59,63,80,65,80,58,1,0,1
"['Torrent', 'Rain Dish']",Blastoise,9,Kamexカメックス,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,5120,70,85.5,45,Shellfish Pokémon,1059860,1.6,630,79,103,120,135,115,78,1,0,2
"['Shield Dust', 'Run Away']",Caterpie,10,Caterpieキャタピー,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,3840,70,2.9,255,Worm Pokémon,1000000,0.3,195,45,30,35,20,20,45,1,0,0
['Shed Skin'],Metapod,11,Transelトランセル,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,3840,70,9.9,120,Cocoon Pokémon,1000000,0.7,205,50,20,55,25,25,30,1,0,1
"['Compoundeyes', 'Tinted Lens']",Butterfree,12,Butterfreeバタフリー,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,3840,70,32,45,Butterfly Pokémon,1000000,1.1,395,60,45,50,90,80,70,1,0,2
"['Shield Dust', 'Run Away']",Weedle,13,Beedleビードル,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,3840,70,3.2,255,Hairy Pokémon,1000000,0.3,195,40,35,30,20,20,50,1,0,0
['Shed Skin'],Kakuna,14,Cocoonコクーン,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,3840,70,10,120,Cocoon Pokémon,1000000,0.6,205,45,25,50,25,25,35,1,0,1
"['Swarm', 'Sniper']",Beedrill,15,Spearスピアー,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,3840,70,29.5,45,Poison Bee Pokémon,1000000,1,495,65,150,40,15,80,145,1,0,2
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgey,16,Poppoポッポ,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,1.8,255,Tiny Bird Pokémon,1059860,0.3,251,40,45,40,35,35,56,1,0,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeotto,17,Pigeonピジョン,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,30,120,Bird Pokémon,1059860,1.1,349,63,60,55,50,50,71,1,0,1
